line_id,order_id,product_id,quantity,unit_price,discount_amount,updated_at
O001-L1,O001,P003,3,14.75,0.00,2026-07-07T08:10:00Z
O001-L2,O001,P004,1,14.75,0.00,2026-07-07T08:10:00Z
O002-L1,O002,P004,1,17.00,0.00,2026-07-07T14:10:00Z
O002-L2,O002,P005,2,17.00,0.00,2026-07-07T14:10:00Z
O003-L1,O003,P005,2,19.25,0.00,2026-07-07T20:10:00Z
O003-L2,O003,P006,3,19.25,0.00,2026-07-07T20:10:00Z
O003-L3,O003,P001,1,19.25,0.00,2026-07-07T20:10:00Z
O004-L1,O004,P006,3,21.50,0.00,2026-07-08T02:10:00Z
O004-L2,O004,P001,1,21.50,0.00,2026-07-08T02:10:00Z
O005-L1,O005,P001,1,12.50,0.00,2026-07-08T08:10:00Z
O005-L2,O005,P002,2,12.50,2.00,2026-07-08T08:10:00Z
O006-L1,O006,P002,2,14.75,2.00,2026-07-08T14:10:00Z
O006-L2,O006,P003,3,14.75,0.00,2026-07-08T14:10:00Z
O006-L3,O006,P004,1,14.75,0.00,2026-07-08T14:10:00Z
O007-L1,O007,P003,3,17.00,0.00,2026-07-08T20:10:00Z
O007-L2,O007,P004,1,17.00,0.00,2026-07-08T20:10:00Z
O008-L1,O008,P004,1,19.25,0.00,2026-07-09T02:10:00Z
O008-L2,O008,P005,2,19.25,0.00,2026-07-09T02:10:00Z
O009-L1,O009,P005,2,21.50,0.00,2026-07-09T08:10:00Z
O009-L2,O009,P006,3,21.50,0.00,2026-07-09T08:10:00Z
O009-L3,O009,P001,1,21.50,0.00,2026-07-09T08:10:00Z
O010-L1,O010,P006,3,12.50,0.00,2026-07-09T14:10:00Z
O010-L2,O010,P001,1,12.50,0.00,2026-07-09T14:10:00Z
O011-L1,O011,P001,1,14.75,0.00,2026-07-09T20:10:00Z
O011-L2,O011,P002,2,14.75,0.00,2026-07-09T20:10:00Z
O012-L1,O012,P002,2,17.00,0.00,2026-07-10T02:10:00Z
O012-L2,O012,P003,3,17.00,2.00,2026-07-10T02:10:00Z
O012-L3,O012,P004,1,17.00,0.00,2026-07-10T02:10:00Z
O013-L1,O013,P003,3,19.25,2.00,2026-07-10T08:10:00Z
O013-L2,O013,P004,1,19.25,0.00,2026-07-10T08:10:00Z
O014-L1,O014,P004,1,21.50,0.00,2026-07-10T14:10:00Z
O014-L2,O014,P005,2,21.50,0.00,2026-07-10T14:10:00Z
O015-L1,O015,P005,2,12.50,0.00,2026-07-10T20:10:00Z
O015-L2,O015,P006,3,12.50,0.00,2026-07-10T20:10:00Z
O015-L3,O015,P001,1,12.50,0.00,2026-07-10T20:10:00Z
O016-L1,O016,P006,3,14.75,0.00,2026-07-11T02:10:00Z
O016-L2,O016,P001,1,14.75,0.00,2026-07-11T02:10:00Z
O017-L1,O017,P001,1,17.00,0.00,2026-07-11T08:10:00Z
O017-L2,O017,P999,2,17.00,0.00,2026-07-11T08:10:00Z
O018-L1,O018,P002,2,19.25,0.00,2026-07-11T14:10:00Z
O018-L2,O018,P003,3,19.25,0.00,2026-07-11T14:10:00Z
O018-L3,O018,P004,1,19.25,2.00,2026-07-11T14:10:00Z
O019-L1,O019,P003,3,21.50,0.00,2026-07-11T20:10:00Z
O019-L2,O019,P004,1,21.50,2.00,2026-07-11T20:10:00Z
O020-L1,O020,P004,1,12.50,2.00,2026-07-12T02:10:00Z
O020-L2,O020,P005,2,12.50,0.00,2026-07-12T02:10:00Z
O021-L1,O021,P005,2,14.75,0.00,2026-07-12T08:10:00Z
O021-L2,O021,P006,3,14.75,0.00,2026-07-12T08:10:00Z
O021-L3,O021,P001,1,14.75,0.00,2026-07-12T08:10:00Z
O022-L1,O022,P006,3,17.00,0.00,2026-07-12T14:10:00Z
O022-L2,O022,P001,1,17.00,0.00,2026-07-12T14:10:00Z
O023-L1,O023,P001,1,19.25,0.00,2026-07-12T20:10:00Z
O023-L2,O023,P002,2,19.25,0.00,2026-07-12T20:10:00Z
O024-L1,O024,P002,2,21.50,0.00,2026-07-13T02:10:00Z
O024-L2,O024,P003,3,21.50,0.00,2026-07-13T02:10:00Z
O024-L3,O024,P004,1,21.50,0.00,2026-07-13T02:10:00Z
O025-L1,O025,P003,3,12.50,0.00,2026-07-13T08:10:00Z
O025-L2,O025,P004,1,12.50,0.00,2026-07-13T08:10:00Z
O026-L1,O026,P004,1,14.75,0.00,2026-07-13T14:10:00Z
O026-L2,O026,P005,2,14.75,2.00,2026-07-13T14:10:00Z
O027-L1,O027,P005,2,17.00,2.00,2026-07-13T20:10:00Z
O027-L2,O027,P006,3,17.00,0.00,2026-07-13T20:10:00Z
O027-L3,O027,P001,1,17.00,0.00,2026-07-13T20:10:00Z
O028-L1,O028,P006,3,19.25,0.00,2026-07-14T02:10:00Z
O028-L2,O028,P001,1,19.25,0.00,2026-07-14T02:10:00Z
O029-L1,O029,P001,1,21.50,0.00,2026-07-14T08:10:00Z
O029-L2,O029,P002,2,21.50,0.00,2026-07-14T08:10:00Z
O030-L1,O030,P002,2,12.50,0.00,2026-07-14T14:10:00Z
O030-L2,O030,P003,3,12.50,0.00,2026-07-14T14:10:00Z
O030-L3,O030,P004,1,12.50,0.00,2026-07-14T14:10:00Z
O008-L1,O008,P004,4,19.25,0.00,2026-07-11T08:00:00Z
O004-L1,O004,P006,3,21.50,0.00,2026-07-08T02:10:00Z
