event_id,order_id,status,event_ts,updated_at
SE-O001-CREATED,O001,CREATED,2026-07-07T08:00:00Z,2026-07-07T08:02:00Z
SE-O001-COMPLETED,O001,COMPLETED,2026-07-07T17:00:00Z,2026-07-07T17:03:00Z
SE-O002-CREATED,O002,CREATED,2026-07-07T14:00:00Z,2026-07-07T14:02:00Z
SE-O002-COMPLETED,O002,COMPLETED,2026-07-08T00:00:00Z,2026-07-08T00:03:00Z
SE-O003-CREATED,O003,CREATED,2026-07-07T20:00:00Z,2026-07-07T20:02:00Z
SE-O003-COMPLETED,O003,COMPLETED,2026-07-08T07:00:00Z,2026-07-08T07:03:00Z
SE-O004-CREATED,O004,CREATED,2026-07-08T02:00:00Z,2026-07-08T02:02:00Z
SE-O004-COMPLETED,O004,COMPLETED,2026-07-08T14:00:00Z,2026-07-08T14:03:00Z
SE-O005-CREATED,O005,CREATED,2026-07-08T08:00:00Z,2026-07-08T08:02:00Z
SE-O005-COMPLETED,O005,COMPLETED,2026-07-08T16:00:00Z,2026-07-08T16:03:00Z
SE-O005-CANCELLED,O005,CANCELLED,2026-07-09T10:00:00Z,2026-07-09T10:04:00Z
SE-O006-CREATED,O006,CREATED,2026-07-08T14:00:00Z,2026-07-08T14:02:00Z
SE-O006-COMPLETED,O006,COMPLETED,2026-07-08T23:00:00Z,2026-07-08T23:03:00Z
SE-O007-CREATED,O007,CREATED,2026-07-08T20:00:00Z,2026-07-08T20:02:00Z
SE-O007-COMPLETED,O007,COMPLETED,2026-07-09T06:00:00Z,2026-07-09T06:03:00Z
SE-O008-CREATED,O008,CREATED,2026-07-09T02:00:00Z,2026-07-09T02:02:00Z
SE-O008-COMPLETED,O008,COMPLETED,2026-07-09T13:00:00Z,2026-07-09T13:03:00Z
SE-O009-CREATED,O009,CREATED,2026-07-09T08:00:00Z,2026-07-09T08:02:00Z
SE-O009-COMPLETED,O009,COMPLETED,2026-06-27T08:00:00Z,2026-07-09T20:03:00Z
SE-O010-CREATED,O010,CREATED,2026-07-09T14:00:00Z,2026-07-09T14:02:00Z
SE-O010-COMPLETED,O010,COMPLETED,2026-07-09T22:00:00Z,2026-07-09T22:03:00Z
