order_id,store_id,customer_id,ordered_at,promised_delivery_at
O001,S01,C001,2026-07-07T08:00:00Z,2026-07-08T20:00:00Z
O002,S02,C002,2026-07-07T14:00:00Z,2026-07-09T02:00:00Z
O003,S03,C003,2026-07-07T20:00:00Z,2026-07-09T08:00:00Z
O004,S01,C004,2026-07-08T02:00:00Z,2026-07-09T14:00:00Z
O005,S02,C005,2026-07-08T08:00:00Z,2026-07-09T20:00:00Z
O006,S03,C006,2026-07-08T14:00:00Z,2026-07-10T02:00:00Z
O007,S01,C007,2026-07-08T20:00:00Z,2026-07-10T08:00:00Z
O008,S02,C008,2026-07-09T02:00:00Z,2026-07-10T14:00:00Z
O009,S03,C009,2026-07-09T08:00:00Z,2026-07-10T20:00:00Z
O010,S01,C010,2026-07-09T14:00:00Z,2026-07-11T02:00:00Z
O011,S02,C011,2026-07-09T20:00:00Z,2026-07-11T08:00:00Z
O012,S03,C012,2026-07-10T02:00:00Z,2026-07-11T14:00:00Z
O013,S01,C013,2026-07-10T08:00:00Z,2026-07-11T20:00:00Z
O014,S02,C014,2026-07-10T14:00:00Z,2026-07-12T02:00:00Z
O015,S03,C015,2026-07-10T20:00:00Z,2026-07-12T08:00:00Z
O016,S01,C016,2026-07-11T02:00:00Z,2026-07-12T14:00:00Z
O017,S02,C017,2026-07-11T08:00:00Z,2026-07-12T20:00:00Z
O018,S03,C018,2026-07-11T14:00:00Z,2026-07-13T02:00:00Z
O019,S01,C019,2026-07-11T20:00:00Z,2026-07-13T08:00:00Z
O020,S02,C020,2026-07-12T02:00:00Z,2026-07-13T14:00:00Z
O021,S03,C021,2026-07-12T08:00:00Z,2026-07-13T20:00:00Z
O022,S01,C022,2026-07-12T14:00:00Z,2026-07-14T02:00:00Z
O023,S02,C023,2026-07-12T20:00:00Z,2026-07-14T08:00:00Z
O024,S03,C024,2026-07-13T02:00:00Z,2026-07-14T14:00:00Z
O025,S01,C025,2026-07-13T08:00:00Z,2026-07-14T20:00:00Z
O026,S02,C026,2026-07-13T14:00:00Z,2026-07-15T02:00:00Z
O027,S03,C027,2026-07-13T20:00:00Z,2026-07-15T08:00:00Z
O028,S01,C028,2026-07-14T02:00:00Z,2026-07-15T14:00:00Z
O029,S02,C029,2026-07-14T08:00:00Z,2026-07-15T20:00:00Z
O030,S03,C030,2026-07-14T14:00:00Z,2026-07-16T02:00:00Z
