metric_date,store_id,net_revenue,known_gross_profit,completed_orders,reversed_orders,delivered_orders,on_time_deliveries,on_time_delivery_rate
2026-07-07,S01,59.00,34.25,1,0,0,0,
2026-07-08,S01,86.00,33.50,1,0,1,1,1.000000
2026-07-08,S02,86.50,32.00,2,0,1,1,1.000000
2026-07-08,S03,202.00,88.25,2,0,0,0,
2026-07-09,S01,118.00,40.75,2,0,1,0,0.000000
2026-07-09,S02,80.00,35.50,1,1,1,1,1.000000
2026-07-09,S03,129.00,57.00,1,0,2,2,1.000000
2026-07-10,S01,25.00,52.75,1,1,2,2,1.000000
2026-07-10,S02,0.00,0.00,0,0,1,0,0.000000
2026-07-10,S03,100.00,58.25,1,0,1,1,1.000000
2026-07-11,S01,59.00,6.50,1,0,1,1,1.000000
2026-07-11,S02,51.00,11.00,1,0,0,0,
2026-07-11,S03,0.00,0.00,1,1,1,0,0.000000
2026-07-12,S01,84.00,59.25,1,0,1,0,0.000000
2026-07-12,S02,35.50,4.00,1,0,1,1,1.000000
2026-07-12,S03,202.00,88.25,2,0,2,2,1.000000
2026-07-13,S01,50.00,25.25,1,0,1,1,1.000000
2026-07-13,S02,64.50,41.50,2,1,1,0,0.000000
2026-07-13,S03,129.00,87.25,1,0,1,1,1.000000
2026-07-14,S01,-50.00,-25.25,0,1,1,1,1.000000
2026-07-14,S02,64.50,41.50,1,0,2,2,1.000000
2026-07-14,S03,175.00,61.25,2,0,1,0,0.000000
2026-07-15,S02,0.00,0.00,0,0,1,1,1.000000
2026-07-15,S03,-75.00,-33.25,0,1,2,2,1.000000
