event_date,order_id,store_id,event_type,net_revenue,known_gross_profit
2026-07-07,O001,S01,SALE,59.00,34.25
2026-07-08,O002,S02,SALE,51.00,19.50
2026-07-08,O003,S03,SALE,115.50,43.50
2026-07-08,O004,S01,SALE,86.00,33.50
2026-07-08,O005,S02,SALE,35.50,12.50
2026-07-08,O006,S03,SALE,86.50,44.75
2026-07-09,O005,S02,REVERSAL,-35.50,-12.50
2026-07-09,O007,S01,SALE,68.00,43.25
2026-07-09,O008,S02,SALE,115.50,48.00
2026-07-09,O009,S03,SALE,129.00,57.00
2026-07-09,O010,S01,SALE,50.00,-2.50
2026-07-10,O010,S01,REVERSAL,-50.00,2.50
2026-07-10,O012,S03,SALE,100.00,58.25
2026-07-10,O013,S01,SALE,75.00,50.25
2026-07-11,O015,S03,REVERSAL,-75.00,-3.00
2026-07-11,O015,S03,SALE,75.00,3.00
2026-07-11,O016,S01,SALE,59.00,6.50
2026-07-11,O017,S02,SALE,51.00,11.00
2026-07-12,O018,S03,SALE,113.50,71.75
2026-07-12,O019,S01,SALE,84.00,59.25
2026-07-12,O020,S02,SALE,35.50,4.00
2026-07-12,O021,S03,SALE,88.50,16.50
2026-07-13,O020,S02,REVERSAL,-35.50,-4.00
2026-07-13,O023,S02,SALE,57.75,34.75
2026-07-13,O024,S03,SALE,129.00,87.25
2026-07-13,O025,S01,SALE,50.00,25.25
2026-07-13,O026,S02,SALE,42.25,10.75
2026-07-14,O025,S01,REVERSAL,-50.00,-25.25
2026-07-14,O027,S03,SALE,100.00,28.00
2026-07-14,O029,S02,SALE,64.50,41.50
2026-07-14,O030,S03,SALE,75.00,33.25
2026-07-15,O030,S03,REVERSAL,-75.00,-33.25
